TapID,VariableName,zD,thetaDeg,Side,HeightGroup,BitIndex,Tbasic,Source,Status
z1_p90,Cpp90_1D,1,90,1,1,1,-1.025,Manuscript Table 1,Reviewed baseline threshold
z1_m90,Cpn90_1D,1,-90,-1,1,2,-0.975,Manuscript Table 1,Reviewed baseline threshold
z1_p110,Cpp110_1D,1,110,1,1,3,-0.925,Manuscript Table 1,Reviewed baseline threshold
z1_m110,Cpn110_1D,1,-110,-1,1,4,-0.875,Manuscript Table 1,Reviewed baseline threshold
z2_p90,Cpp90_2D,2,90,1,2,5,-0.975,Manuscript Table 1,Reviewed baseline threshold
z2_m90,Cpn90_2D,2,-90,-1,2,6,-0.975,Manuscript Table 1,Reviewed baseline threshold
z2_p110,Cpp110_2D,2,110,1,2,7,-0.875,Manuscript Table 1,Reviewed baseline threshold
z2_m110,Cpn110_2D,2,-110,-1,2,8,-0.825,Manuscript Table 1,Reviewed baseline threshold
z3p5_p90,Cpp90_3_5D,3.5,90,1,3,9,-1.225,Manuscript Table 1,Reviewed baseline threshold
z3p5_m90,Cpn90_3_5D,3.5,-90,-1,3,10,-1.225,Manuscript Table 1,Reviewed baseline threshold
z3p5_p110,Cpp110_3_5D,3.5,110,1,3,11,-1.075,Manuscript Table 1,Reviewed baseline threshold
z3p5_m110,Cpn110_3_5D,3.5,-110,-1,3,12,-1.175,Manuscript Table 1,Reviewed baseline threshold
