VariableName,Channel,Slope,Offset
Cpp90_1D,7,2763.1103,46.7353
Cpp90_2D,8,2760.5462,-3.9812
Cpp90_3_5D,9,2771.2718,6977.6853
Cpn90_1D,10,2770.025,1384.8747
Cpn90_2D,11,2764.0335,6882.2088
Cpn90_3_5D,12,2761.5253,37.518
Cpb_1D,13,2758.6922,-29.2788
Cpb_2D,14,2751.3767,8.9979
Cpb_3_5D,15,2750.6685,0.0327
Cpp70_1D,16,2763.13,1602.1266
Cpp70_2D,17,2765.6519,27.0844
Cpp70_3_5D,18,2754.8263,-2.7767
Cpn70_1D,19,2758.8502,2133.7652
Cpn70_2D,20,2760.5056,-32.096
Cpn70_3_5D,21,2760.718,6.6842
Cpp110_1D,22,2758.6562,93.6785
Cpp110_2D,23,2758.2751,13.1394
Cpp110_3_5D,24,2764.5686,-21.7986
Cpn110_1D,25,2766.2835,-50.9285
Cpn110_2D,26,2776.6497,16.3731
Cpn110_3_5D,27,2766.8385,34.6345
